uniqueID,drugName,condition_clean,rating,sentiment_label,review_word_len
123283,Apri,Birth Control,1,NEGATIVE,77
9123,Lo Loestrin Fe,Birth Control,5,NEUTRAL,72
76112,Portia,Birth Control,8,POSITIVE,36
43177,Sronyx,Birth Control,10,POSITIVE,34
83837,Ethinyl estradiol / norgestimate,Birth Control,8,POSITIVE,51
148566,Mirena,Birth Control,9,POSITIVE,123
133506,Tri-Sprintec,Birth Control,10,POSITIVE,113
10117,Lo Loestrin Fe,Birth Control,7,POSITIVE,53
144302,Etonogestrel,Birth Control,1,NEGATIVE,147
219557,Microgestin Fe 1.5 / 30,Birth Control,9,POSITIVE,62
84151,Ethinyl estradiol / norgestimate,Birth Control,3,NEGATIVE,139
37759,Reclipsen,Birth Control,9,POSITIVE,49
168028,Jolessa,Birth Control,1,NEGATIVE,43
131082,Levonorgestrel,Birth Control,4,NEGATIVE,124
26234,Sprintec,Birth Control,9,POSITIVE,48
123086,Ethinyl estradiol / norgestrel,Birth Control,1,NEGATIVE,42
104227,Ethinyl estradiol / levonorgestrel,Birth Control,3,NEGATIVE,23
9876,Lo Loestrin Fe,Birth Control,9,POSITIVE,136
98504,Nexplanon,Birth Control,4,NEGATIVE,94
192044,Drospirenone / ethinyl estradiol,Birth Control,1,NEGATIVE,51
44367,Ethinyl estradiol / norgestimate,Birth Control,5,NEUTRAL,123
85373,Ethinyl estradiol / norgestimate,Birth Control,9,POSITIVE,110
216255,Copper,Birth Control,8,POSITIVE,125
215918,Copper,Birth Control,1,NEGATIVE,143
49249,Ethinyl estradiol / levonorgestrel,Birth Control,2,NEGATIVE,96
85435,Ethinyl estradiol / norgestimate,Birth Control,10,POSITIVE,70
180771,Dienogest / estradiol,Birth Control,10,POSITIVE,72
6058,Minastrin 24 Fe,Birth Control,8,POSITIVE,74
130095,Levonorgestrel,Birth Control,10,POSITIVE,141
148109,Norethindrone,Birth Control,8,POSITIVE,86
68972,Medroxyprogesterone,Birth Control,1,NEGATIVE,109
154015,Tarina Fe 1 / 20,Birth Control,1,NEGATIVE,119
33741,Junel Fe 1 / 20,Birth Control,1,NEGATIVE,135
74361,Ethinyl estradiol / norethindrone,Birth Control,7,POSITIVE,91
33995,Junel Fe 1 / 20,Birth Control,7,POSITIVE,128
6476,Ocella,Birth Control,9,POSITIVE,131
73221,Ethinyl estradiol / norethindrone,Birth Control,7,POSITIVE,90
449,Medroxyprogesterone,Birth Control,4,NEGATIVE,55
227331,Etonogestrel,Birth Control,1,NEGATIVE,149
147820,Norethindrone,Birth Control,1,NEGATIVE,140
143177,Etonogestrel,Birth Control,1,NEGATIVE,136
83997,Ethinyl estradiol / norgestimate,Birth Control,1,NEGATIVE,74
118715,Drospirenone / ethinyl estradiol,Birth Control,4,NEGATIVE,47
124473,Skyla,Birth Control,10,POSITIVE,95
15292,Ethinyl estradiol / norethindrone,Birth Control,8,POSITIVE,145
97921,Nexplanon,Birth Control,5,NEUTRAL,79
124572,Skyla,Birth Control,10,POSITIVE,141
78514,Ethinyl estradiol / norethindrone,Birth Control,10,POSITIVE,41
104324,Ethinyl estradiol / levonorgestrel,Birth Control,10,POSITIVE,114
48692,Ethinyl estradiol / levonorgestrel,Birth Control,9,POSITIVE,143
18135,Ethinyl estradiol / etonogestrel,Birth Control,10,POSITIVE,66
226467,Etonogestrel,Birth Control,2,NEGATIVE,66
48742,Ethinyl estradiol / levonorgestrel,Birth Control,3,NEGATIVE,140
103487,Loestrin 21 1 / 20,Birth Control,10,POSITIVE,28
73408,Ethinyl estradiol / norethindrone,Birth Control,6,NEUTRAL,78
203043,Gildess Fe 1 / 20,Birth Control,6,NEUTRAL,144
107996,Ethinyl estradiol / norelgestromin,Birth Control,8,POSITIVE,129
49361,Ethinyl estradiol / levonorgestrel,Birth Control,1,NEGATIVE,39
227775,Etonogestrel,Birth Control,7,POSITIVE,135
199528,Depo-Provera,Birth Control,10,POSITIVE,52
48896,Ethinyl estradiol / levonorgestrel,Birth Control,6,NEUTRAL,73
188356,ParaGard,Birth Control,1,NEGATIVE,141
43662,LoSeasonique,Birth Control,6,NEUTRAL,70
138201,Ortho Evra,Birth Control,8,POSITIVE,103
97993,Nexplanon,Birth Control,3,NEGATIVE,81
9459,Lo Loestrin Fe,Birth Control,9,POSITIVE,57
15587,Ethinyl estradiol / norethindrone,Birth Control,10,POSITIVE,104
72666,Ethinyl estradiol / norethindrone,Birth Control,4,NEGATIVE,110
110426,Nexplanon,Birth Control,4,NEGATIVE,99
652,Medroxyprogesterone,Birth Control,1,NEGATIVE,40
37813,Reclipsen,Birth Control,8,POSITIVE,60
108014,Ethinyl estradiol / norelgestromin,Birth Control,7,POSITIVE,100
16526,Ethinyl estradiol / norethindrone,Birth Control,9,POSITIVE,56
182361,Mirena,Birth Control,10,POSITIVE,91
107228,Implanon,Birth Control,3,NEGATIVE,63
148174,Norethindrone,Birth Control,5,NEUTRAL,89
202953,Gildess Fe 1 / 20,Birth Control,10,POSITIVE,86
100182,Desogestrel / ethinyl estradiol,Birth Control,5,NEUTRAL,106
123025,Ethinyl estradiol / norgestrel,Birth Control,10,POSITIVE,146
216280,Copper,Birth Control,9,POSITIVE,106
49226,Ethinyl estradiol / levonorgestrel,Birth Control,2,NEGATIVE,137
215642,Copper,Birth Control,9,POSITIVE,103
133263,Tri-Sprintec,Birth Control,10,POSITIVE,58
131420,Generess Fe,Birth Control,5,NEUTRAL,56
111733,Gianvi,Birth Control,3,NEGATIVE,135
73039,Ethinyl estradiol / norethindrone,Birth Control,4,NEGATIVE,89
84525,Ethinyl estradiol / norgestimate,Birth Control,5,NEUTRAL,77
